BibliographyType,ISBN,Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Custom1,Custom2,Custom3,Custom4,Custom5
7,"","Aurum2003945","Aurum, Aybüke & Wohlin, Claes","The fundamental nature of requirements engineering activities as a decision-making process ","Information and Software Technology ",45,14,"","945 - 954",2003,"","Eighth International Workshop on Requirements Engineering: Foundation for Software Quality ","http://www.sciencedirect.com/science/article/pii/S095058490300096X","","","","","","","","","","","","","","","Requirement engineering activities, Requirements decisions, Classical decision-making model, Project management ","",""
7,"","Aversano200229","Aversano, Lerina; Canfora, Gerardo; Lucia, Andrea De & Gallucci, Pierpaolo","Business process reengineering and workflow automation: a technology transfer experience ","Journal of Systems and Software ",63,1,"","29 - 44",2002,"","","http://www.sciencedirect.com/science/article/pii/S0164121201001285","","","","","","","","","","","","","","","","",""
7,"","Baghbadorani2014235","Baghbadorani, Elham Amini & Roohani, Ali","The Impact of Strategy-based Instruction on \L2\ Learners’ Persuasive Writing ","Procedia - Social and Behavioral Sciences ",98,,"","235 - 241",2014,"","Proceedings of the International Conference on Current Trends in \{ELT\} ","http://www.sciencedirect.com/science/article/pii/S1877042814025038","","","","","","","","","","","","","","","Persuasive writing, Self-Regulated Strategy Development (SRSD) ","",""
7,"","Baloh2008433","Baloh, Peter; Uthicke, Katharina & Moon, Gyewan","A business process-oriented method of \KM\ solution design: A case study of Samsung Electronics ","International Journal of Information Management ",28,5,"","433 - 437",2008,"","","http://www.sciencedirect.com/science/article/pii/S0268401208000996","","","","","","","","","","","","","","","Knowledge management solution design, Organizational design, Business process change ","",""
7,"","Banning20088","Banning, Maggi","The think aloud approach as an educational tool to develop and assess clinical reasoning in undergraduate students ","Nurse Education Today ",28,1,"","8 - 14",2008,"","","http://www.sciencedirect.com/science/article/pii/S0260691707000214","","","","","","","","","","","","","","","Clinical reasoning, Think aloud seminar, Process oriented methods, Nurse education ","",""
7,"","Banning2005502","Banning, Maggi","Approaches to teaching: Current opinions and related research ","Nurse Education Today ",25,7,"","502 - 508",2005,"","","http://www.sciencedirect.com/science/article/pii/S0260691705000523","","","","","","","","","","","","","","","Learning facilitation, Nurse education, Approaches to teaching, Inquiry based learning, Process oriented learning strategies ","",""
7,"","Barbot2012209","Barbot, Baptiste; Tan, Mei; Randi, Judi; Santa-Donato, Gabrielle & Grigorenko, Elena L.","Essential skills for creative writing: Integrating multiple domain-specific perspectives ","Thinking Skills and Creativity ",7,3,"","209 - 223",2012,"","","http://www.sciencedirect.com/science/article/pii/S1871187112000296","","","","","","","","","","","","","","","Creative writing, Writing skills, Creative cognition, Rasch measurement, Expert judgment ","",""
5,"978-1-85617-525-8","Barnes20087","Barnes, David & Hinton, Matthew","Chapter 2 - Literature Review ","",,,"","7 - 14",2008,"Oxford","","http://www.sciencedirect.com/science/article/pii/B9781856175258000023","The Benefits of e-Business Performance Measurement Systems ","","","","Barnes, David & Hinton, Matthew","CIMA Publishing","","","","","","","","","","",""
7,"","Bell2016310","Bell, Geoffrey G. & Rochford, Linda","Rediscovering SWOT’s integrative nature: A new understanding of an old framework ","The International Journal of Management Education ",14,3,"","310 - 326",2016,"","","http://www.sciencedirect.com/science/article/pii/S1472811716300398","","","","","","","","","","","","","","","SWOT, Pedagogy, Threshold concept, Strategy formulation, Integrating internal and external analysis ","",""
7,"","Berdonosov2011199","Berdonosov, Victor & Redkolis, Elena","TRIZ-fractality of computer-aided software engineering systems ","Procedia Engineering ",9,,"","199 - 213",2011,"","Proceeding of the \{ETRIA\} World \{TRIZ\} Future Conference ","http://www.sciencedirect.com/science/article/pii/S1877705811001299","","","","","","","","","","","","","","","CASE, Software life cycle, Process-oriented approach, TRIZ-fractality, Systematization of knowledge ","",""
7,"","Bertolo2014a","Bertolo, Manoel Barros; de Araújo Ferreira, Bruno Silva; Marchiore, Adriana G. Mucke; do Amaral Carvalho, Glaucia Pereira; de Souza, Débora Pessoa & Psaltikidis, Eliane Molina","Construção do manual de processos de trabalho e técnicas do Centro de Dispensação de Medicamentos de Alto Custo (CEDMAC) do Hospital de Clínicas da Unicamp ","Revista Brasileira de Reumatologia ",54,3,"","185 - 191",2014,"","","http://www.sciencedirect.com/science/article/pii/S0482500414000746","","","","","","","","","","","","","","","‐chaveReumatologia, Terapia biológica, Administração hospitalar, Garantia da qualidade dos cuidados de Saúde, Rheumatology, Biological Therapy, Hospital Administration, Quality Assurance, Health Care ","",""
7,"","Bertolo2014","Bertolo, Manoel Barros; de Araújo Ferreira, Bruno Silva; Marchiore, Adriana G. Mucke; do Amaral Carvalho, Glaucia Pereira; de Souza, Débora Pessoa & Psaltikidis, Eliane Molina","Construction of a manual of work processes and techniques from Centro de Dispensação de Medicamentos de Alto Custo (CEDMAC), Hospital de Clínicas, Unicamp ","Revista Brasileira de Reumatologia (English Edition) ",54,3,"","185 - 191",2014,"","","http://www.sciencedirect.com/science/article/pii/S2255502114000637","","","","","","","","","","","","","","","Rheumatology, Biological Therapy, Hospital Administration, Quality Assurance, Health Care-chave, Reumatologia, Terapia biológica, Administração hospitalar, Garantia da qualidade dos cuidados de Saúde ","",""
7,"","Bhagwat200743","Bhagwat, Rajat & Sharma, Milind Kumar","Performance measurement of supply chain management: A balanced scorecard approach ","Computers & Industrial Engineering ",53,1,"","43 - 62",2007,"","","http://www.sciencedirect.com/science/article/pii/S0360835207000617","","","","","","","","","","","","","","","Balanced scorecard, Supply chain management, Performance measurement, Metrics, Framework, Case studies ","",""
7,"","Björklund201282","Björklund, Anna","Life cycle assessment as an analytical tool in strategic environmental assessment. Lessons learned from a case study on municipal energy planning in Sweden ","Environmental Impact Assessment Review ",32,1,"","82 - 87",2012,"","","http://www.sciencedirect.com/science/article/pii/S0195925511000539","","","","","","","","","","","","","","","Strategic environmental assessment (SEA), Life cycle assessment (LCA), Scenarios, Public participation, Municipal energy plan ","",""
7,"","Bogdan2012357","Bogdan, Crenguţa M. & Popovici, Dorin M.","Information system analysis of an e-learning system used for dental restorations simulation ","Computer Methods and Programs in Biomedicine ",107,3,"","357 - 366",2012,"","","http://www.sciencedirect.com/science/article/pii/S0169260711000265","","","","","","","","","","","","","","","Information system, Analysis, Context diagram, Business use case diagram, Activity diagram, Domain model, Class diagram ","",""
7,"","Bolhuis2003327","Bolhuis, Sanneke","Towards process-oriented teaching for self-directed lifelong learning: a multidimensional perspective ","Learning and Instruction ",13,3,"","327 - 347",2003,"","","http://www.sciencedirect.com/science/article/pii/S0959475202000087","","","","","","","","","","","","","","","Self-directed learning, Lifelong learning, Process-oriented teaching, Social learning, Critical theory ","",""
7,"","Bolhuis2001837","Bolhuis, Sanneke & Voeten, Marinus J. M.","Toward self-directed learning in secondary schools: what do teachers do? ","Teaching and Teacher Education ",17,7,"","837 - 855",2001,"","","http://www.sciencedirect.com/science/article/pii/S0742051X01000348","","","","","","","","","","","","","","","Independent learning, Student-activating teaching, Process-oriented teaching, Secondary education, Observation ","",""
7,"","Bolk1997209","Bolk, H.; van Elswijk, P.; Melis, T. & van Praag, A. M.","Only people learn: organisations and systems can adapt ","Computers in Industry ",33,2–3,"","209 - 216",1997,"","Co-Operation in Manufacturing Systems, \{CIM\} at Work ","http://www.sciencedirect.com/science/article/pii/S0166361597000262","","","","","","","","","","","","","","","Intelligent enterprise, Learning organisation, Total quality management, Business process re-engineering, Groupware ","",""
7,"","Borkowski1983379","Borkowski, John G. & Krause, Audrey","Racial differences in intelligence: The importance of the executive system ","Intelligence ",7,4,"","379 - 395",1983,"","","http://www.sciencedirect.com/science/article/pii/0160289683900120","","","","","","","","","","","","","","","","",""
5,"978-0-12-088469-8","Bornhövd20041182","Bornhövd, Christof; Lin, Tao; Haller, Stephan & Schaper, Joachim","Integrating Automatic Data Acquisition with Business Processes Experiences with SAP's Auto-ID Infrastructure ","",,,"","1182 - 1188",2004,"St Louis","","http://www.sciencedirect.com/science/article/pii/B9780120884698501030","Proceedings 2004 \{VLDB\} Conference ","","","","Nascimento, Mario A.; Özsu, M. Tamer; Kossmann, Donald; Miller, Renée J.; Blakeley, José A. & Schiefer, Berni","Morgan Kaufmann","","","","","","","","","","",""
7,"","Braganza2016","Braganza, Ashley; Brooks, Laurence; Nepelski, Daniel; Ali, Maged & Moro, Russ","Resource management in big data initiatives: Processes and dynamic capabilities ","Journal of Business Research ",,,""," - ",2016,"","","http://www.sciencedirect.com/science/article/pii/S0148296316304933","","","","","","","","","","","","","","","Big data, Resource based theory, Dynamic capabilities, Business processes, European Poles Of Excellence ","",""
7,"","Braslasu2015497","Braslasu, Mihai","Aspects of Didactic Communication in Primary School ","Procedia - Social and Behavioral Sciences ",180,,"","497 - 501",2015,"","The 6th International Conference Edu World 2014 “Education Facing Contemporary World Issues”, 7th - 9th November 2014 ","http://www.sciencedirect.com/science/article/pii/S1877042815014962","","","","","","","","","","","","","","","communication, communication skills, instrumental communication, educational objectives, flexible educational environment. ","",""
7,"","Breuer199069","Breuer, Klaus & Kummer, Ruediger","Cognitive effects from process learning with computer-based simulations ","Computers in Human Behavior ",6,1,"","69 - 81",1990,"","Special Issue: German Exprimental Research in Learning and Instruction with Computers ","http://www.sciencedirect.com/science/article/pii/074756329090031B","","","","","","","","","","","","","","","","",""
5,"978-0-12-374151-6","Bridgeland20091","Bridgeland, David M. & Zahavi, Ron","Chapter 1 - Why Business Modeling? ","",,,"","1 - 18",2009,"Boston","","http://www.sciencedirect.com/science/article/pii/B978012374151600001X","Business Modeling ","","","The MK/OMG Press","Bridgeland, David M. & Zahavi, Ron","Morgan Kaufmann","","","","","","","","","","",""
5,"978-0-12-374151-6","Bridgeland2009269","Bridgeland, David M. & Zahavi, Ron","Chapter 10 - Business Model Analysis ","",,,"","269 - 290",2009,"Boston","","http://www.sciencedirect.com/science/article/pii/B9780123741516000100","Business Modeling ","","","The MK/OMG Press","Bridgeland, David M. & Zahavi, Ron","Morgan Kaufmann","","","","","","","","","","",""
7,"","Brones2016","Brones, Fabien Albert; de Carvalho, Marly Monteiro & de Senzi Zancul, Eduardo","Reviews, action and learning on change management for ecodesign transition ","Journal of Cleaner Production ",,,""," - ",2016,"","","http://www.sciencedirect.com/science/article/pii/S0959652616313506","","","","","","","","","","","","","","","Ecodesign, Integration, Change management, Transition, Sustainability ","",""
7,"","Burner2014139","Burner, Tony","The potential formative benefits of portfolio assessment in second and foreign language writing contexts: A review of the literature ","Studies in Educational Evaluation ",43,,"","139 - 149",2014,"","","http://www.sciencedirect.com/science/article/pii/S0191491X1400011X","","","","","","","","","","","","","","","Portfolio assessment, Formative assessment, Writing assessment, Second language learning, Foreign language learning ","",""
5,"978-0-08-031118-0","Butera198457","Butera, F.","\INTERACTIVE\ \NEW\ \DESIGN\ \OF\ \TECHNOLOGY\ \AND\ \ORGANIZATION\ \WITH\ \JOINT\ \CONSIDERATION\ \OF\ \ECONOMIC\ \AND\ \SOCIAL\ CRITERIA: \THE\ \CASE\ \OF\ A \NEW\ \ROLLING\ \MILL\ \PLANT\ ","",,,"","57 - 64",1984,"","","http://www.sciencedirect.com/science/article/pii/B9780080311180500178","Design of Work in Automated Manufacturing Systems ","","","","MARTIN, T.","Pergamon","","","","","","","","","","",""
7,"","Cairns20061087","Cairns, Jadine & Milne, Ryna Levy","Eating Disorder Nutrition Counseling: Strategies and Education Needs of English-Speaking Dietitians in Canada ","Journal of the American Dietetic Association ",106,7,"","1087 - 1094",2006,"","","http://www.sciencedirect.com/science/article/pii/S000282230600873X","","","","","","","","","","","","","","","","",""
7,"","Cavicchiolo2015485","Cavicchiolo, Elisa; Alivernini, Fabio & Manganelli, Sara","A Mixed Method Study on Teachers’ Diaries: Teachers’ Narratives and Value-added Patterns ","Procedia - Social and Behavioral Sciences ",205,,"","485 - 492",2015,"","6th World Conference on Psychology, Counseling and Guidance (WCPCG-2015) ","http://www.sciencedirect.com/science/article/pii/S1877042815050661","","","","","","","","","","","","","","","value-added models, cognitive activation, text mining, reflective practices, social learning, process-oriented teaching. ","",""
7,"","Cedergren2014516","Cedergren, Stefan & Larsson, Stig","Evaluating performance in the development of software-intensive products ","Information and Software Technology ",56,5,"","516 - 526",2014,"","Performance in Software Development ","http://www.sciencedirect.com/science/article/pii/S0950584913002292","","","","","","","","","","","","","","","Performance measurements, Performance management, Efficiency, Effectiveness, Software-intensive products ","",""
7,"","Chalmeta20061015","Chalmeta, Ricardo","Methodology for customer relationship management ","Journal of Systems and Software ",79,7,"","1015 - 1024",2006,"","Selected papers from the 11th Asia Pacific Software Engineering Conference (APSEC2004) ","http://www.sciencedirect.com/science/article/pii/S0164121205001603","","","","","","","","","","","","","","","Customer relationship management, Methodology, Implementation, Lesson learning, Change management ","",""
7,"","Chang2016167","Chang, Victor; Walters, Robert John & Wills, Gary Brian","Organisational sustainability modelling—An emerging service and analytics model for evaluating Cloud Computing adoption with two case studies ","International Journal of Information Management ",36,1,"","167 - 179",2016,"","","http://www.sciencedirect.com/science/article/pii/S0268401215000882","","","","","","","","","","","","","","","Organisational sustainability modelling (OSM), Cloud Computing, Emerging Services and Analytics, OSM case studies ","",""
7,"","Chen20052801","Chen, Jen-Ming & Chen, Liang-Tu","Pricing and production lot-size/scheduling with finite capacity for a deteriorating item over a finite horizon ","Computers & Operations Research ",32,11,"","2801 - 2819",2005,"","","http://www.sciencedirect.com/science/article/pii/S0305054804000796","","","","","","","","","","","","","","","Lot-size and scheduling, Periodic pricing, Time-varying demand, Deterioration, Dynamic programming ","",""
7,"","Cheng201232","Cheng, Min-Yuan; Peng, Hsien-Sheng; Huang, Chih-Min & Chen, Ching-Hsin","KM-oriented business process reengineering for construction firms ","Automation in Construction ",21,,"","32 - 45",2012,"","","http://www.sciencedirect.com/science/article/pii/S092658051100094X","","","","","","","","","","","","","","","Knowledge Management (KM), Business Process Reengineering (BPR), Construction firm, Architecture of Integrated Information System (ARIS) ","",""
7,"","Chenhall2005395","Chenhall, Robert H.","Integrative strategic performance measurement systems, strategic alignment of manufacturing, learning and strategic outcomes: an exploratory study ","Accounting, Organizations and Society ",30,5,"","395 - 422",2005,"","","http://www.sciencedirect.com/science/article/pii/S0361368204000662","","","","","","","","","","","","","","","","",""
7,"","Clark201152","Clark, Clancy J.; Sindell, Sarah L. & Koehler, Richard P.","Template for Success: Using a Resident-Designed Sign-out Template in the Handover of Patient Care ","Journal of Surgical Education ",68,1,"","52 - 57",2011,"","","http://www.sciencedirect.com/science/article/pii/S1931720410002412","","","","","","","","","","","","","","","Accreditation Council for Graduate Medical Education, communication, Core Competencies, curriculum, education, handoff, handover, internship and residency, patient safety, process assessment, program development, sign-out, Interpersonal and Communication Skills, Practice Based Learning and Improvement, and Systems Based Practice ","",""
7,"","Coltman2009388","Coltman, Tim; Bru, Kathrine; Perm-Ajchariyawong, Nidthida; Devinney, Timothy M. & Benito, Gabriel R. G.","Supply chain contract evolution ","European Management Journal ",27,6,"","388 - 401",2009,"","","http://www.sciencedirect.com/science/article/pii/S0263237308001333","","","","","","","","","","","","","","","Contract design, Business process modelling, Supply chain management ","",""
7,"","GarcíaCoria20141189","Coria, José A. García; Castellanos-Garzón, José A. & Corchado, Juan M.","Intelligent business processes composition based on multi-agent systems ","Expert Systems with Applications ",41,4, Part 1,"","1189 - 1205",2014,"","","http://www.sciencedirect.com/science/article/pii/S0957417413006143","","","","","","","","","","","","","","","Multi-agent system, Web service, Cloud computing, Software component reuse, Software engineering, Business process composition, Machine learning ","",""
7,"","Crabtree200697","Crabtree, Aaron D.; Brandon, Duane M. & Maher, John J.","The Impact of Auditor Tenure on Initial Bond Ratings ","Advances in Accounting ",22,,"","97 - 121",2006,"","","http://www.sciencedirect.com/science/article/pii/S0882611006220054","","","","","","","","","","","","","","","","",""
7,"","Cvetkovski1996335","Cvetkovski, Bill J.; Nutkowitz, Max T. & Morrison, Kenneth R.","Modeling car dealership credit operations using arena as a business process reengineering demonstration ","Computers & Industrial Engineering ",31,1–2,"","335 - 338",1996,"","Proceedings of the 19th International Conference on Computers and Industrial Engineering ","http://www.sciencedirect.com/science/article/pii/0360835296001441","","","","","","","","","","","","","","","Arena, Business Process Reengineering, Decision Making ","",""
7,"","Davila2009322","Davila, Antonio; Foster, George & Li, Mu","Reasons for management control systems adoption: Insights from product development systems choice by early-stage entrepreneurial companies ","Accounting, Organizations and Society ",34,3–4,"","322 - 347",2009,"","","http://www.sciencedirect.com/science/article/pii/S0361368208000676","","","","","","","","","","","","","","","","",""
7,"","Decker20055","Decker, Björn; Rech, Jörg; Althoff, Klaus-Dieter; Klotz, Andreas; Leopold, Edda & Voss, Angie","eParticipative Process Learning––process-oriented experience management and conflict solving ","Data & Knowledge Engineering ",52,1,"","5 - 31",2005,"","Collaborative business process technologies ","http://www.sciencedirect.com/science/article/pii/S0169023X04000886","","","","","","","","","","","","","","","Collaborative business process modeling, Process introduction, Process improvement, Cross-enterprise process management, Knowledge management in collaborative processes ","",""
7,"","Dennis200331","Dennis, Alan R.; Carte, Traci A. & Kelly, Gigi G.","Breaking the rules: success and failure in groupware-supported business process reengineering ","Decision Support Systems ",36,1,"","31 - 47",2003,"","","http://www.sciencedirect.com/science/article/pii/S016792360200132X","","","","","","","","","","","","","","","Group support systems, Business process reengineering, Case study ","",""
7,"","Dimitrova2014120","Dimitrova, Elena","The ‘sustainable development’ concept in urban planning education: lessons learned on a Bulgarian path ","Journal of Cleaner Production ",62,,"","120 - 127",2014,"","Higher Education for Sustainable Development: Emerging Areas ","http://www.sciencedirect.com/science/article/pii/S0959652613004022","","","","","","","","","","","","","","","Higher education, Sustainable development, Urban planning, Central and Eastern Europe ","",""
7,"","Ding201612","Ding, Feng & Stapleton, Paul","Walking like a toddler: Students' autonomy development in English during cross-border transitions ","System ",59,,"","12 - 28",2016,"","","http://www.sciencedirect.com/science/article/pii/S0346251X16300069","","","","","","","","","","","","","","","English-medium-instruction, Mainland Chinese students, Learner autonomy, Multilingual context, Internationalization of higher education ","",""
7,"","Dlouhá201364","Dlouhá, Jana; Barton, Andrew; Janoušková, Svatava & Dlouhý, Jiří","Social learning indicators in sustainability-oriented regional learning networks ","Journal of Cleaner Production ",49,,"","64 - 73",2013,"","Learning for sustainable development in regional networks ","http://www.sciencedirect.com/science/article/pii/S0959652612003617","","","","","","","","","","","","","","","Learning processes, Social learning, Regional centers of expertise, Indicators, Higher education ","",""
7,"","Doll2003199","Doll, William J.; Deng, Xiaodong & Scazzero, Joseph A.","A process for post-implementation \IT\ benchmarking ","Information & Management ",41,2,"","199 - 212",2003,"","","http://www.sciencedirect.com/science/article/pii/S037872060300048X","","","","","","","","","","","","","","","Benchmarking, Post-implementation, Learning, Induced learning, Autonomous learning, IT usage, IT impact ","",""
7,"","Dooley1999483","Dooley, Lawrence & O'Sullivan, David","Decision support system for the management of systems change ","Technovation ",19,8,"","483 - 493",1999,"","","http://www.sciencedirect.com/science/article/pii/S0166497299000231","","","","","","","","","","","","","","","change management, decision support systems, systems change ","",""
7,"","Douglas2012253","Douglas, Elliot P. & Chiu, Chu-Chuan","Process-oriented Guided Inquiry Learning in Engineering ","Procedia - Social and Behavioral Sciences ",56,,"","253 - 257",2012,"","International Conference on Teaching and Learning in Higher Education in conjunction with Regional Conference on Engineering Education and Research in Higher Education ","http://www.sciencedirect.com/science/article/pii/S1877042812041146","","","","","","","","","","","","","","","Active learning, Engineering, Inquiry learning, Process-oriented guided inquiry, POGIL ","",""
7,"","Draghici2012527","Draghici, Anca; Draghici, George; Olariu, Cristian & Canda, Alexandru","\ICT\ Infrastructure Created to Support CertiBPM Project and Training Program ","Procedia Technology ",5,,"","527 - 536",2012,"","4th Conference of \{ENTERprise\} Information Systems – aligning technology, organizations and people (CENTERIS 2012) ","http://www.sciencedirect.com/science/article/pii/S2212017312004896","","","","","","","","","","","","","","","Business Process Management (BPM), Training and Certification, Virtual Office, e-Learning platform ","",""
7,"","Draghici2012537","Draghici, Anca; Draghici, George; Olariu, Cristian & Canda, Alexandru","Romanian Market Acceptance for Business Process Management Skills Development ","Procedia Technology ",5,,"","537 - 546",2012,"","4th Conference of \{ENTERprise\} Information Systems – aligning technology, organizations and people (CENTERIS 2012) ","http://www.sciencedirect.com/science/article/pii/S2212017312004902","","","","","","","","","","","","","","","Business Process Management, Marketing survey, Training, Certification, Impact ","",""
7,"","East20111070","East, E. William & Love, Danielle R.","Value-added analysis of the construction submittal process ","Automation in Construction ",20,8,"","1070 - 1078",2011,"","","http://www.sciencedirect.com/science/article/pii/S0926580511000574","","","","","","","","","","","","","","","Business process reengineering, Total quality management, Value-added analysis, Construction contract administration, Project management, Submittals ","",""
7,"","Ebner201092","Ebner, Martin; Lienhardt, Conrad; Rohs, Matthias & Meyer, Iris","Microblogs in Higher Education – A chance to facilitate informal and process-oriented learning? ","Computers & Education ",55,1,"","92 - 100",2010,"","","http://www.sciencedirect.com/science/article/pii/S0360131509003418","","","","","","","","","","","","","","","Informal learning, Process-oriented learning, Higher Education, e-Learning, Web 2.0, Microblogging, Twitter ","",""
7,"","Elabed2015e119","Elabed, F.; Benlebna, F.; Zellat, B. Boumediene; Khensous, L.; Miri, F. & Djaroud, Z.","How to improve compliance in \RA\ = Interest of an educational program ","Annals of Physical and Rehabilitation Medicine ",58, Supplement 1,,"","e119 - ",2015,"","30th Annual Congress of the French Society of Physical and Rehabilitation Medicine ","http://www.sciencedirect.com/science/article/pii/S187706571500370X","","","","","","","","","","","","","","","Rhumatoïde, Observance arthritis therapeutic, Éducation ","",""
7,"","Elbashir2008135","Elbashir, Mohamed Z.; Collier, Philip A. & Davern, Michael J.","Measuring the effects of business intelligence systems: The relationship between business process and organizational performance ","International Journal of Accounting Information Systems ",9,3,"","135 - 153",2008,"","Eighth International Research Symposium on Accounting Information Systems (IRSAIS) ","http://www.sciencedirect.com/science/article/pii/S1467089508000353","","","","","","","","","","","","","","","Business value of IT-intensive systems, Organizational performance measures, Business process performance measures, Industry effects, Business intelligence systems ","",""
