,title,
,"Holistic Learning Factories – A Concept to Train Lean Management, Resource Efficiency as Well as Management and Organization Improvement Skills ",science
,Can differences in learning strategies explain the benefits of learning from static and dynamic visualizations? ,science
,The situated dynamics of peer group interaction: an introduction to an analytic framework ,science
,Scriptlines as emergent artifacts in collaborative group planning ,science
,Reengineering the Teaching of \SAP\ \SCM\ – How to Make Students Understand What They are Clicking in Supply Network Planning ,science
,Use of constructivist approach in architectural education ,science
,Climate change scenarios and citizen-participation: Mitigation and adaptation perspectives in constructing sustainable futures ,science
,An empirical study of the effects of knowledge sharing and learning behaviors on firm performance ,science
,Budgeting and Anticipatory Management ,science
,A fuzzy \AHP\ and \BSC\ approach for evaluating performance of \IT\ department in the manufacturing industry in Taiwan ,science
,Using balanced scorecards for the evaluation of “Software-as-a-service” ,science
,The role of social and intellectual capital in achieving competitive advantage through enterprise resource planning (ERP) systems ,science
,How to review journal manuscripts: A lesson learnt from the world's excellent reviewers ,science
,Would you like to know who knows? Connecting employees based on process-oriented knowledge mapping ,science
,"Mining business process variants: Challenges, scenarios, algorithms ",science
,Probabilistic threshold query optimization based on threshold classification using \ELM\ for uncertain data ,science
,Linguistic characteristics of \ESL\ writing in task-based e-mail activities ,science
,Integrating hierarchical balanced scorecard with fuzzy linguistic for evaluating operating room performance in hospitals ,science
,"Effects of mental process integrated nursing training using mobile device on students’ cognitive load, learning attitudes, acceptance, and achievements ",science
,\BIM\ Implementation and Organisational Change: A Case Study of a Large Swedish Public Client ,science
,Transnational linking of local governments: The consolidation of the Utrecht–León municipal partnership ,science
,A case study of an inter-enterprise workflow-supported supply chain management system ,science
,Operations management and reengineering ,science
,An empirical investigation of information systems interoperability business value in European firms ,science
,\IT\ induced business transformation in higher education: an analysis of the UniCafé experience and its implications ,science
,"Openness, knowledge, innovation and growth in \UK\ business services ",science
,The Bollard—the lessons learned from an unusual example of off-site construction ,science
,A system architecture based on open source enterprise content management systems for supporting educational institutions ,science
,A framework for context-aware heterogeneous group decision making in business processes ,science
,Role of quality management capabilities in developing market-based organisational learning capabilities: Case study evidence from four Indian business process outsourcing firms ,science
,Reaching Out to the Positive Equilibrium of Children through Music ,science
,"Using process-oriented, sequencing educational technologies: Some important pedagogical issues ",science
,Competency-Based Resident Education ,science
,CF4BPMN: A \BPMN\ Extension for Controlled Flexibility in Business Processes ,science
,The balanced scorecard: a foundation for the strategic management of information systems ,science
,Combining qualitative evaluation and social network analysis for the study of classroom social interactions ,science
,Rethinking the role of scenarios: Participatory scripting of low-carbon scenarios for France ,science
,Chapter 9 - Sustainable Innovation and the “Learning Drive” ,science
,Chapter 5 - Other Techniques and Tools ,science
,"Business transformation, information technology and competitive strategies: learning to fly ",science
,From text to graphical summary: A product- and process oriented assessment to explore the development in fifth and sixth graders' dynamic construction ,science
,A Region of Proximal Learning model of study time allocation ,science
,Beyond the rhetoric of problem-based learning: emancipatory limits and links with andragogy ,science
,Formal process modelling ,science
,Reengineering of materials management system: A case study ,science
,The common will ,science
,Why do quality and reliability feedback loops not always work in practice: a case study ,science
,Seven - Process-oriented Competencies ,science
,"Integrating Information Literacy, the \POGIL\ Method, and iPads into a Foundational Studies Program ",science
,Impacts of electronic process guides by types of user: An experimental study ,science
,\SSME\ Curricula: An Overview ,science
,Chapter 11 - Conclusions: The Learning Health System of the Future ,science
,Designing a mixed performance measurement system for environmental supply chain management using evolutionary game theory and balanced scorecard: A case study of an auto industry supply chain ,science
,Reengineering service operations: a longitudinal case study ,science
,Socio-emotional conflict in collaborative learning—A process-oriented case study in a higher education context ,science
,A cross-national comparison of the adoption of business process reengineering: fashion-setting networks? ,science
,Specifying process-oriented hypertext for organizational computing ,science
,"Collectively engaging complex socio-ecological systems: re-envisioning science, governance, and the California Delta ",science
,The balance on the balanced scorecard a critical analysis of some of its assumptions ,science
,The effects of retail channel integration through the use of information technologies on firm performance ,science
,Exploring Strategic Thinking Skills in Process Oriented Task in \ESL\ Classroom ,science
,"The reliability estimation, prediction and measuring of component-based software ",science
,Evaluating the impact of Knowledge Management adoption on Supply Chain performance by BSC-FANP approach: An empirical case study ,science
,Thirty years of artificial intelligence in medicine (AIME) conferences: A review of research themes ,science
,The Mathematical Model of Mechanical Pulp Bleaching Process. ,science
,39 - Preventive Quality Management ,science
,A Conceptual Model for Adaptive \ERP\ Courses ,science
,Levels of analysis in motor control ,science
,E-business's impact on organizational flexibility ,science
,Anxiety–performance relationships in climbing: a process-oriented approach ,science
,How to bridge between natural and social sciences? An analysis of three approaches to transdisciplinary from the Swiss and German field of environmental research ,science
,Writing processes with word processing in teaching english as a foreign language ,science
,An Inquiry into the Spontaneous Transfer of Problem-Solving Skill ,science
,"The anthropology of the supply chain: Fiefs, clans, witch-doctors and professors ",science
,Workplace english: Approach and analysis ,science
,Sustainable Operation Management Using the Balanced Score Card as a Strategic Tool - A Research Summary ,science
,A proposal to use a balanced scorecard to evaluate Information for Health: an information strategy for the modern \NHS\ (1998–2005) ,science
,4 - Practical \HR\ ,science
,"Written feedback in mathematics: Mediated by students' perception, moderated by goal orientation ",science
,The effectiveness of workflow management systems: Predictions and lessons learned ,science
,Dynamic testing and transfer: An examination of children's problem-solving strategies ,science
,SightSafety: A hybrid information and communication technology system for reducing vehicle/pedestrian collisions ,science
,Developing an Enterprise Architecture Proof of Concept in a Portuguese Hospital ,science
,Merging the metaphors for organizational improvement: Business process reengineering as a component of organizational learning ,science
,The origin and tectonic setting of ophiolites in China ,science
,Business Process Portfolio Management ,science
,Process Architect Training ,science
,Process Expert Training ,science
,Portable \AI\ lab for teaching artificial intelligence ,science
,Virtual biochemistry — a case study ,science
,\OK\ you are now an approved supplier—but you still do not get orders: Understanding the case of the P-Card ,science
,An experiential learning pedagogical framework for enterprise systems education in business schools ,science
,Inter enterprise CIM—a mechanism for graduate education ,science
,Specification and validation of process constraints for flexible workflows ,science
,Critical Review of Approaches to Foreign Language Syllabus Design: Task-Based Syllabus (A Shortcut) ,science
,DAI-DEPUR: an integrated and distributed architecture for wastewater treatment plants supervision ,science
,Locus Coeruleus in time with the making of memories ,science
,Managing large-scale global enterprise resource planning systems: a case study at Texas Instruments ,science
,Simulation games in \CIM\ and the learning organisation ,science
,"Education quality, and teaching and learning in the post-2015 education agenda ",science
,Adaptive behaviour and feedback processing integrate experience and instruction in reinforcement learning ,science
,Attuning a mobile simulation game for school children using a design-based research approach ,science
,A neuropsychological theory of metaphor ,science
,Process mining analysis of conceptual modeling behavior of novices – empirical study using \JMermaid\ modeling and experimental logging environment ,science
,Process-mining enabled feedback: “Tell me what I did wrong” vs. “tell me how to do it right” ,science
,Log based business process engineering using fuzzy web service discovery ,science
,Equitable ecology: collaborative learning for local benefit in Amazonia ,science
,20 - Sound ,science
,Study on Business Process Knowledge Creation and Optimization in Modern Manufacturing Enterprises ,science
,Organizational Structure and Performances of Responsible Malaysian Healthcare Providers: A Balanced Scorecard Perspective ,science
,Organizational learning culture—the missing link between business process change and organizational performance ,science
,Learning styles in secondary vocational education: disciplinary differences ,science
,Teaching the engineering aspects of membrane process technology ,science
,A class of neural-network-based transducers for web information extraction ,science
,An intelligent composite system for statistical process control ,science
,\BPMN\ MUSIM: Approach to improve the domain expert’s efficiency in business processes modeling for the generation of specific software applications ,science
,4 - Intensive Knowledge-Based Enterprise Modelling ,science
,Teaching academic subjects in Swazi preschools ,science
,Collaborative and workflow-oriented digital portfolio: Creating a web-based tool to support a nationwide program of practices evaluation in the blood transfusion area ,science
,LIMS: an automating or informating technology? ,science
,Guideline validation in multiple trauma care through business process modeling ,science
,Designing for interaction: Six steps to designing computer-supported group-based learning ,science
,Methodological challenges for collaborative learning research ,science
,Architecting and Managing Virtual Learning Networks:: A Business Process-orientated Approach to Legal Compliance ,science
,Scalable enterprise systems: Quality management issues ,science
,Process-Integrated Measurements for Quality Control with Turning ,science
,Post-privatization performance and organizational changes: Case studies from Ghana ,science
,Chapter 6 - Lessons learned from nearly 200 cases of \KM\ journeys by Hong Kong and Asian Enterprises ,science
,Plural: A decentralized business process modeling method ,science
,Students as Actors in Teachers’ Socialization. A Sociolinguistic Study within the Romanian Context ,science
,Epilogue: Practical Bioethics ,science
,Co-variation between stressful events and rumination predicts depressive symptoms: An eighteen months prospective design in undergraduates ,science
,\ERP\ in agriculture: Lessons learned from the Dutch horticulture ,science
,Virtualization of food supply chains with the internet of things ,science
,"Prognostic Bayesian networks: I: Rationale, learning procedure, and clinical use ",science
,Prognostic Bayesian networks: II: An application in the domain of cardiac surgery ,science
,Congruence and friction between learning and teaching ,science
,MCView: An integrated graphical system to support multi-attribute decisions ,science
,Process-oriented design principles for promoting self-regulated learning in primary teacher education ,science
,Building a Balanced Scorecard for a burn center ,science
,Integrating hierarchical balanced scorecard with non-additive fuzzy integral for evaluating high technology firm performance ,science
,Modularity in building mass customization capability: The mediating effects of customization knowledge utilization and business process improvement ,science
,A framework to analyze argumentative knowledge construction in computer-supported collaborative learning ,science
,Learning pathways for energy supply technologies: Bridging between innovation studies and learning rates ,science
,402-O. An Experiment in Process-oriented Training: Learning to Think Like an \ED\ Nurse ,science
,An \ED\ Orientation/Fellowship: An Experiment in Process-Oriented Training and Learning to Think Like an Emergency Nurse ,science
,Constructing a strategy map for banking institutions with key performance indicators of the balanced scorecard ,science
,\INTEGRATED\ BATCH-TO-BATCH \ITERATIVE\ \LEARNING\ \CONTROL\ \AND\ \WITHIN\ \BATCH\ \CONTROL\ \OF\ \PRODUCT\ \QUALITY\ \FOR\ \BATCH\ \PROCESSES\ ,science
,Key success factors for online auctions: Analysis of auctions of fashion clothing ,science
,Study on the Simulative Financial Management System in \ERP\ Education ,science
,A model of integrating the cycle of construction knowledge flows: Lessons learned in Taiwan ,science
,CAD/CAM Courses Integration of Theoretical Teaching and Practical Training ,science
,An Innovative Approach in Architectural Education: Designing a Utopia ,science
,"“I am not only a disease, I am so much more”. Patients with rheumatic diseases’ experiences of an emotion-focused group intervention ",science
,"Discovery, visualization and performance analysis of enterprise workflow ",science
,"Reference architecture, metamodel, and modeling principles for architectural knowledge management in information technology services ",science
,Integrating performance-based design in beginning interior design education: an interactive dialog between the built environment and its context ,science
,Application of Information Processes Applicative Modelling to Virtual Machines Auto Configuration ,science
,Integrated catchment management: Is it wishful thinking or can it succeed? ,science
