"http://ieeexplore.ieee.org/search/searchresult.jsp?download-format=download-csv&bulkSetSize=2000&matchBoolean%3Dtrue%26searchField%3DSearch_All%26queryText%3D%28%28p_Abstract%3A.QT.business+process.QT.+OR+p_Abstract%3A.QT.process-oriented.QT.+OR+.QT.process+oriented.QT.+OR+p_Abstract%3A.QT.process-integrated.QT.+%29+AND+%28p_Abstract%3A.QT.elearning+OR+p_Abstract%3Alearning+OR+p_Abstract%3Ateaching+OR+p_Abstract%3A.QT.e-learning.QT.%29%29",2016/09/22 09:09:49
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Social BPM Lab -- Characterization of a Collaborative Approach for Business Process Management Education","T. Caporale; M. Citak; J. Lehner; A. Schoknecht; M. Ullrich","Inst. of Appl. Inf. & Formal Description Methods (AIFB), Karlsruhe Inst. of Technol. (KIT), Karlsruhe, Germany","2013 IEEE 15th Conference on Business Informatics","","2013","","","367","373","Business Process Management (BPM) is an important tool for companies to cope with today's competitive market situation. One current mean to gain a competitive edge is through integrating social networks and software into BPM. But though knowledge and skills in this particular area are highly demanded by enterprises there is still a lack of sufficient teaching concepts. Universities typically only offer functional courses without considering the communication and social aspects of BPM. This paper describes a single course unit for BPM at universities disseminating not only theoretical knowledge but also practical application and communication skills. Additionally, problem-based learning and role play simulation have been identified as pedagogical foundations. This Social BPM Lab is based on the Horus Method which comprises relevant aspects of Business Process Management and fosters interactions between students through social media in a lab context. First evaluations show that the lab increases students' involvement and understanding of the connections between BPM theory and practice.","2378-1963;23781963","","10.1109/CBI.2013.60","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6642902","BPM education;Social BPM;Teaching concept;Teaching lab","Collaboration;Companies;Educational institutions;Internet;Software","computer aided instruction;educational courses;groupware;information dissemination;management science;social networking (online);teaching","Horus method;application skills;business process management education;collaborative approach;communication skills;competitive market situation;functional courses;lab context;pedagogical foundations;single course unit;social BPM lab;social networks;teaching concepts;theoretical knowledge dissemination;universities","","1","","35","","","15-18 July 2013","","IEEE","IEEE Conference Publications"
"Knowledge-Learning Service Construction Based on Events","Y. Zhang; J. L. Chen","State Key Lab. of Networking & Switching Technol., Beijing Univ. of Posts & Telecommun., Beijing, China","2016 IEEE International Conference on Services Computing (SCC)","","2016","","","681","688","Automatically constructing a composite service from a set of basic services is not desirable in practice because the composition assumption often over-simplifies the realistic constraints and states. We try to propose a stepwise methodology to step-by-step construct a composite service, where the event-driven principle and process declaration principle are used to realize process flexibility, and user knowledge aggregation way is adopted to clarify users' demands and intents. For modeling services with flexibility, service decoupling feature based on events is utilized to decouple different parts of a business process, and to independently define process fragments. Process coordination logic among different process fragments is extracted as independent building blocks such that its enactment can be adapted at run-time. Thus, we get a method to model, deploy and run declarative business processes based on events. At run-time, we propose a service construction assistant to learn the complex relation between user clicks and service quality.","","Electronic:978-1-5090-2628-9; POD:978-1-5090-2629-6","10.1109/SCC.2016.94","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7557514","Declarative Process;Event-driven Methodology;Satisfiability Modulo Theories;Service Construction","Conferences;Service computing","customer services;inference mechanisms;learning (artificial intelligence);user interfaces","composite service construction;event-driven principle;knowledge-learning service construction;process coordination logic;process declaration principle;service construction assistant;service decoupling feature;service quality;stepwise methodology;user clicks;user demand;user intent;user knowledge aggregation","","","","","","","June 27 2016-July 2 2016","","IEEE","IEEE Conference Publications"
"Outsourcing of application software: a knowledge management perspective","C. M. Beath; G. Walker","Southern Methodist Univ., Dallas, TX, USA","System Sciences, 1998., Proceedings of the Thirty-First Hawaii International Conference on","","1998","6","","666","674 vol.6","Summarizes results from an exploratory field study of application software acquisition decisions and outcomes. We argue that outsourcing for application software is easiest when the objective is to obtain knowledge codified in artifacts such as packaged programs and their documentation. It is more complex when the objective is to get access to tacit knowledge about information technology or business processes held by professionals, and most problematic when the firm depends on learning or inventing new knowledge specific to the business process","","","10.1109/HICSS.1998.654828","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=654828","","Application software;Best practices;Computer industry;Costs;Information technology;Knowledge management;Management information systems;Outsourcing;Packaging;Software packages","information technology;outsourcing;software management;software selection;system documentation","application software acquisition;artifacts;business process;business processes;documentation;information technology;knowledge management;learning;new knowledge;outsourcing;packaged programs","","6","","23","","","6-9 Jan 1998","06 Jan 1998-09 Jan 1998","IEEE","IEEE Conference Publications"
"Keynotes","N. Spyratos; M. Gabbouj; K. Singh; U. Kannengiesser","Univ. of Paris South, Paris, France","2015 11th International Conference on Signal-Image Technology & Internet-Based Systems (SITIS)","","2015","","","xli","xlv","This keynotes discusses the following: HiFun - a high level functional query language for big data analytics; machine learning and particle swarm optimization tools for searching in big databases; digital innovation for emerging economies; subject-oriented business process management.","","","10.1109/SITIS.2015.147","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7400536","","","Big Data;business data processing;data analysis;functional languages;innovation management;learning (artificial intelligence);particle swarm optimisation;query languages;query processing","HiFun;SITIS;big data analytics;big database searching;digital innovation;emerging economies;high level functional query language;machine learning;particle swarm optimization;signal-image technology & Internet-based systems;subject-oriented business process management","","","","","","","23-27 Nov. 2015","","IEEE","IEEE Conference Publications"
"Intelligent system to support SOAQs assessment","S. Ben Salem; L. Cheniti Belcadhi; R. Braham","PRINCE Res. Unit, Sousse Univ., Sousse, Tunisia","Fourth International Conference on Information and Communication Technology and Accessibility (ICTA)","","2013","","","1","5","Concept mapping has been applied in several fields, including curriculum development, learning, and assessment. The validity of concept mapping process has been proven by many empirical studies. The present paper describes a concept map based system that has been conceived for learners' knowledge assessment in process-oriented short and open answers questions SOAQs' evaluation. The presentation of the system focuses on its architecture on terms of modules, their interactions and their functions. We have three modules: the learner module, the tutor module and the administrator module.","2379-4399;23794399","","10.1109/ICTA.2013.6815301","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6815301","SOAQs;computer-assisted assessment;concept mapping","Artificial intelligence;Computer architecture;Context;Educational institutions;Natural languages;Semantics","intelligent tutoring systems","SOAQ assessment;administrator module;concept map-based system;concept mapping process;empirical analysis;intelligent tutoring system;learner knowledge assessment;learner module;process-oriented short-and-open answer questions;tutor module","","0","","24","","","24-26 Oct. 2013","","IEEE","IEEE Conference Publications"
"Towards a novel graphical editor for modeling Learning scenarios","M. Harrathi; M. Khemaja","PRINCE Research Unit University of Sousse, ISITCom Hammam Sousse, Tunisia","Computer and Information Technology (WCCIT), 2013 World Congress on","","2013","","","1","6","The IMSLD specification had emerged in 2003, with the aim of allowing learning scenarios design with regards to good and successful pedagogical guidelines. Since that time, many research works had been carried out to provide authoring tools and/or LMSs that implement it. So the IMSLD success does not only depend on its own principals but it greatly depends on tools implementing it. However some authoring tools and LMSs (which are considered as LD execution environments) lack some software quality characteristics as interoperability, flexibility adaptability, graphical interface usability,... But with the SOA oriented LMSs, the learning process should be considered as a business process where learning services are orchestrated to provide to learners the best learning experiences either individually or collaboratively. In this paper, we present a novel approach and a graphical tool based both on the IMSLD specification and on MDA (Model Driven Architecture) transformations to Business Process Modeling Ontology (BPMO) notation.","","","10.1109/WCCIT.2013.6618784","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6618784","BPMO;Business Process;IMSLD;Learning Process;MDA;SOA based LMS","Computer architecture;Electronic learning;Interoperability;Proposals;Service-oriented architecture;Standards","authoring systems;computer aided instruction;graphical user interfaces;ontologies (artificial intelligence);open systems;service-oriented architecture;software quality","BPMO notation;IMSLD specification;LD execution environment;MDA transformations;SOA oriented LMS;authoring tools;business process;business process modeling ontology notation;graphical editor;graphical interface usability,..;graphical tool;interoperability;learning process;learning scenario design;learning scenario modeling;learning services;model driven architecture;pedagogical guidelines;software adaptability;software flexibility;software quality characteristics","","0","","24","","","22-24 June 2013","","IEEE","IEEE Conference Publications"
"Change management at Mobil Oil Australia","I. Martin; Yen Cheung","Sch. of Bus. Syst., Monash Univ., Clayton, Vic., Australia","System Sciences, 2001. Proceedings of the 34th Annual Hawaii International Conference on","","2001","","","10 pp.","","To remain competitive, many businesses in the 1990's have undertaken business process reengineering projects, reorganising one or more parts of their operations. The paper results from a case study of the enterprise-wide review of Mobil Oil Australia Limited to increase profitability and change the culture of the organisation. A radical (to the oil industry) business unit organisation structure was designed, populated and implemented. The project was an immediate financial success and reenergized the company. Income after tax was six times higher after the reorganisation than in the previous year, notwithstanding a continuing recession and the uncertainty caused by the restructuring. Return on capital employed increased from 2% to 7%. Lessons can be learnt from the way the project was initiated and developed, the deployment of the project management structure and improvement methodology, the approach to the implementation of the new structure, and the findings of the post implementation review.","","","10.1109/HICSS.2001.927179","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=927179","","Australia;Business process re-engineering;Companies;Corporate acquisitions;Costs;Petroleum industry;Profitability;Project management;Refining;Uncertainty","chemical industry;management of change;petroleum industry;systems re-engineering","Mobil Oil Australia;business process reengineering projects;business unit organisation structure;case study;change management;enterprise-wide review;financial success;improvement methodology;oil industry;organisational culture;post implementation review;profitability;project management structure;recession;restructuring;return on capital employed","","0","","2","","","6-6 Jan. 2001","","IEEE","IEEE Conference Publications"
"Making flexible learning more flexible","O. Marjanovic; M. E. Orlowska","Dept. of Comput. Sci. & Electr. Eng., Queensland Univ., Brisbane, Qld., Australia","Advanced Learning Technologies, 2000. IWALT 2000. Proceedings. International Workshop on","","2000","","","59","62","As a response to the changing environment in which the educational sector operates today and, in particular, the increasingly diverse student population, many universities opt for flexible delivery of their courses. However, there is a tendency to focus too much on technology per se and not on the learning process. At the same time educational technology itself which still is lingering behind current developments in the information technology (IT) industry. We argue that educational technologies are still task-oriented rather than process-oriented and as such not capable of effectively supporting an integrated study process. We present a concept of Flex-eL-a flexible, fully integrated, workflow enabled, learning environment. We argue that flexible learning should be even more flexible and based on that premise, we critically evaluate the existing technologies for flexible delivery. Furthermore, we describe the main features of Flex-eL and discuss some important issues that we have come across during its pilot implementation","","","10.1109/IWALT.2000.890566","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=890566","","Collaborative tools;Computer science;Education;Educational technology;Electronic learning;Environmental management;Information technology;Optimized production technology;Packaging;Synchronous generators","courseware;educational courses;workflow management software","Flex-eL;educational technology;flexible course delivery;flexible learning;universities;workflow enabled learning environment","","14","","10","","","2000","04 Dec 2000-06 Dec 2000","IEEE","IEEE Conference Publications"
"U-WIN: The university of Ulsan Web based information network","Kyu-Nyun Kim; Ja-Geun Koo; Sung-Jin Kim; Jong-Soo Yang; Choong Young Jung; Dae-Hwa Park","Center for Inf. & Commun., Ulsan Univ., South Korea","Science and Technology, 2003. Proceedings KORUS 2003. The 7th Korea-Russia International Symposium on","","2003","2","","355","359 vol.2","Modern high education requires systemically integrated information systems that improve the information exchange and the quality of services for realization of an open education and bringing up human resources. In this paper, we introduce the integrated information systems, U-WIN(The university of Ulsan Web based information network) that is to upgrade the current education, the research environments and the information services. U-WIN uses the latest information technology to construct important systems of the campus, which will cover administration and research services, portal services, digital library, EDMS, cyber learning, mobile campus and so on. This project will be based on the information strategy planning and business process reengineering. In this project we focus on the efficient management of university and the future-oriented informative campus. To realize these goals we selected the Microsoft .NET and implement some Web services based on XML to accomplish the opened, integrated, extendible and mobile systems.","","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1222635","","","Web sites;XML;business process re-engineering;digital libraries;information centres;management education;portals;strategic planning","EDMS;ISP/PR;Microsoft .NET;XML;business process reengineering;cyber learning;digital library;information service system;information strategy planning;integrated information system;mobile campus;portal services;university of Ulsan Web based information network","","0","","2","","","6-6 July 2003","","IEEE","IEEE Conference Publications"
"Corpus-based teaching in writing class of English majors","L. Jing; D. Fengqiu","English Department, College of Arts, Hebei University of Engineering, Guangming South Street 199, Handan, Hebei China","Computer Science and Education (ICCSE), 2010 5th International Conference on","","2010","","","1592","1595","In order to solve the problems in process-oriented writing class of English major and promote students' autonomy in the course learning, a corpus-based teaching mode is proposed in present paper. It analyzes the roles of corpus in English teaching and learning and designs a new type of writing class arrangement, which can nicely apply advanced technology of modern corpus into the process of writing guidance of teachers, ranging from prewriting, draft proofreading to draft revising. Such a student-centered method can well increase students' interest in attending the class, enhance their ability of autonomous data-driven learning and improve teachers' material selection and error correction. Although it needs further improvement and experimental test, it gives a worthwhile reference to the perfection of the present writing class of English majors.","","","10.1109/ICCSE.2010.5593774","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5593774","English major;corpus-base;teaching;writing class","Art;Context;Education;Materials;Pragmatics;Presses;Writing","computer aided instruction;grammars;natural language processing;teaching","English learning;English majors;corpus-based teaching;draft proofreading;draft revising;error correction;prewriting;process-oriented writing class;student-centered method;teacher material selection;writing guidance","","0","","5","","","24-27 Aug. 2010","","IEEE","IEEE Conference Publications"
"Managing Reengineering Operations","A. Afshar; M. Sepehri","Reengineering Director, Khuzestan Water and Power Authority, Ahvaz, Iran","2006 IEEE International Conference on Management of Innovation and Technology","","2006","1","","268","269","Fifteen years after introduction of business process reengineering (BPR) and a series of successful and not-so-successful BPR implementation, a revised methodology is needed to incorporate cases of major and sudden organizational or environmental changes with BPR. The new methodology can also be particularly applicable to project oriented businesses. September 11, Tsunami, and other major world events show that nothing is constant but change. A reengineered process may only stay as the environment factors stay the same. Therefore, the processes can no longer be the central focus of reengineering, but the output needs. Technology has enabled us to refocus and apply reengineering constantly to volatile organizations. The goal of new methodology would be on process flexibility and process dynamics, to cope with any and all business and environment changes and still to meet business needs, while focusing on the organization learning and growth as well as overall effectiveness and speed to market. Use of knowledge-based systems to process the requirements may be applicable","","","10.1109/ICMIT.2006.262165","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4035837","","Business process re-engineering;Cultural differences;Energy management;Environmental management;Information systems;Investments;Technological innovation;Technology management;Terrorism;Tsunami","business process re-engineering;knowledge based systems","business process reengineering;environmental change;knowledge-based system;organization learning;organizational change;project oriented business","","1","","5","","","21-23 June 2006","","IEEE","IEEE Conference Publications"
"A Business Process Management Approach to Surgical Instrument/Device Reprocessing and Tracking","J. Ryan; B. Doster; S. Daily; C. Lewis","Auburn Univ. at Montgomery, USA","2016 49th Hawaii International Conference on System Sciences (HICSS)","","2016","","","3219","3228","This study examines business process management practices applied to monitor, measure, and improve reusable surgical instrument/device reprocessing and instrument-to-patient tracking within the hospital environment. This paper identifies how dynamic technological activities of analysis, evaluation, and synthesis applied to internal and external organizational data can highlight complex relationships within integrated hospital processes to target opportunities for improvement and ultimately yield improved process capabilities. The identification of existing limitations, potential capabilities, and the subsequent contextual understanding are contributing factors that yield measured improvement within a hospital's perioperative process. This case study investigates the impact of integrated information systems to identify, qualify, and quantify perioperative improvement within efficient and effective instrument/device reprocessing and tracking, based on a 142-month longitudinal study of a large, 1.046 registered-bed teaching hospital,. The theoretical and practical implications and/or limitations of this study's results are also discussed with respect to practitioners and researchers alike.","1530-1605;15301605","","10.1109/HICSS.2016.404","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7427587","Business Process Management;Instrument Device Reprocessing;Instrument Device Tracking;Perioperative Process","Business;Hospitals;Information systems;Instruments;Standards;Surgery","biomedical equipment;hospitals;medical information systems;surgery","business process management practices;dynamic technological activities;external organizational data;hospital environment;hospital perioperative process;instrument-to-patient tracking;integrated information systems;internal organizational data;perioperative improvement;process capabilities;reusable surgical instrument/device reprocessing;surgical instrument/device tracking","","","","51","","","5-8 Jan. 2016","","IEEE","IEEE Conference Publications"
"Student modeling & simulation projects in healthcare: Experiences with Hillingdon Hospital","S. J. E. Taylor; P. Abbott; T. Young; R. Grocott-Mason","Modelling & Simulation Group, Department of Computer Science, Brunel University London, Uxbridge, UB8 3PH, UK","Proceedings of the Winter Simulation Conference 2014","","2014","","","3650","3661","This paper describes experiences in the first year of running final year Modeling & Simulation (M&S) undergraduate projects with The Hillingdon Hospitals, a large UK National Health Service (NHS) Hospital Trust. Our approach used project- and problem-based learning in a group context with emphasis on the student's responsibility for the execution of their project. As part of their B.Sc. (HONS) Business Computing course, the students had taken a module on Business Process Modeling and Simulation during their second year. The student group was supported by two facilitators with help from two simulation researchers. Each student worked with a stakeholder in a variety of clinical service settings to create conceptual models, business process models and discrete-event simulations. The projects helped stakeholders to reflect on how their services might be improved, highlighted new areas of investigation, raised awareness of M&S at Hillingdon Hospital and equipped students with real-world M&S skills and experience.","0891-7736;08917736","","10.1109/WSC.2014.7020194","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7020194","","Analytical models;Business;Computational modeling;Data models;Discharges (electric);Hospitals","computer science education;discrete event simulation;educational courses;further education;health care;hospitals;medical administrative data processing","BSc HONS Business Computing course;Business Process Modeling and Simulation module;Hillingdon Hospital;M&S undergraduate projects;National Health Service;UK NHS Hospital Trust;clinical service settings;conceptual models;discrete-event simulations;healthcare;problem-based learning;project-based learning;student modeling & simulation projects","","0","","14","","","7-10 Dec. 2014","","IEEE","IEEE Conference Publications"
"Unraveling and Learning Workflow Models from Interleaved Event Logs","X. Liu","Dept. of Comput. Sci., Rochester Inst. of Technol., Rochester, NY, USA","Web Services (ICWS), 2014 IEEE International Conference on","","2014","","","193","200","Business process mining is to extract process knowledge from a system's log in order to reconstruct workflow models. Existing approaches treat a log record as an instance of one workflow model. They do not deal with interleaved logs, where each log record is a mixture of multiple workflow traces. However, such an interleaved log is typical for many systems especially web-based ones where all the user-system interaction traces are recorded and maintained by a web server. Dealing with interleaved logs is challenging due to the lack of prior knowledge of workflow models and noises contained in the log data. In this paper, we propose a two-phase workflow learning process. During the first phase, we use a probabilistic approach to learn the links between operations and the hidden workflow models. We consider a workflow model as a probabilistic distributions over operations and derive it through likelihood maximization. This allows us to identify the membership of an operation to a workflow model, which can be used to unravel a log record and generate a set of workflow instances from it. During the second phase, the sequential patterns between operations within each workflow model are derived from all its instances. We have conducted a comprehensive experimental study, which indicates the effectiveness of the proposed solution.","","","10.1109/ICWS.2014.38","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6928898","Process mining;interleaved logs;probabilistic models;topic modeling;workflow model discovery","Business;Computational modeling;Data mining;Equations;Hidden Markov models;Mathematical model;Probabilistic logic","business data processing;data mining;learning (artificial intelligence);statistical distributions;workflow management software","Web-based systems;business process mining;interleaved event logs;probabilistic distribution;two-phase workflow learning process;user-system interaction;workflow models","","1","","15","","","June 27 2014-July 2 2014","","IEEE","IEEE Conference Publications"
"Realsearch: a framework for knowledge management and continuing education","R. Dove","Paradigm Shift Int., Questa, NM, USA","Aerospace Conference, 1998 IEEE","","1998","5","","367","384 vol.5","This paper deals with insight as the deep form of knowledge we wish to develop about our business environments, and the form of knowledge we wish to transfer to others who are in business with us. More specifically, this paper describes an insight development process called Realsearch, and its application specifically to the analysis and design of highly adaptable business practices. Realsearch is an issue-focused, principle-based methodology that first defines the nature of a problem before considering solutions. Solutions are then analyzed or designed according to a set of fundamental design principles. Insight is fostered with this cause-and-effect understanding, and communicated within an organization through means of a local metaphor model-which provides a graphic depiction of this cause-and-effect relationship for a known and respected local business practice. One immediately practical application is for directing business process reengineering projects. Another is the capture and mobilization of corporate core competency knowledge. A third important application is in what we now call continuing education-at all employee levels. Insight provides a very different leverage over simple procedural learning and training. Formal education traditionally gives us new rules to employ, training traditionally gives us experience in applying those rules, workshops focus us (sometimes) on real and practical problems, and seminars expose us to someone else's thoughts. None have demonstrated the ability to provide insight consistently-so all have a marginal value by comparison","1095-323X;1095323X","","10.1109/AERO.1998.685844","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=685844","","Biological system modeling;Business communication;Business process re-engineering;Continuing education;Government;Graphics;Humans;Knowledge management;Seminars;Testing","commerce;continuing education;management;systems re-engineering","Realsearch;business environments;business practices;cause-and-effect relationship;continuing education;corporate core competency knowledge;insight development process;knowledge management;local metaphor model;principle-based methodology;reengineering projects","","1","","11","","","21-28 Mar 1998","21 Mar 1998-28 Mar 1998","IEEE","IEEE Conference Publications"
"Research on Education Reform of Vehicle Service Specialty in Higher Vocational Colleges","H. j. Gong","Shaanxi Coll. of Commun. & Technol., Xi'an, China","Knowledge Acquisition and Modeling (KAM), 2011 Fourth International Symposium on","","2011","","","589","592","Vehicle industry has become a pillar industry in China. Vehicle service has become an urgently needed specialty, higher vocational colleges should seize the opportunity to solve the problems in vehicle specialty through taking methods such as adopting ""order"" training, increasing five capacity training, carrying out teaching methods based on process-oriented and reforming assessment methods. Colleges should increase the teaching reform intensity of vehicle service specialty in higher vocational colleges in order to train more vehicle service professionals who meet the social needs.","","","10.1109/KAM.2011.159","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6137714","teaching practice;teaching reform;vehicle service specialty","Automobiles;Educational institutions;Industries;Materials;Training","automotive engineering;educational institutions;further education;vocational training","capacity training;colleges;education reform;higher vocational colleges;teaching methods;teaching reform intensity;vehicle industry;vehicle service specialty","","1","","5","","","8-9 Oct. 2011","","IEEE","IEEE Conference Publications"
"Table of contents","","","Chilean Computer Science Society (SCCC), 2012 31st International Conference of the","","2012","","","v","viii","The following topics are dealt with: programming languages; teaching in computer science; software engineering; computational intelligence; system software; networking; pattern recognition; and business process management.","1522-4902;15224902","","10.1109/SCCC.2012.4","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6694063","","","artificial intelligence;business data processing;computer aided instruction;computer science education;pattern recognition;programming languages;software engineering","business process management;computational intelligence;computer science;pattern recognition;programming language;software engineering;teaching","","0","","","","","12-16 Nov. 2012","","IEEE","IEEE Conference Publications"
"How Does the Enterprise Implement Business Process Reengineering Management","Y. Miao","Economic Manage. Acad., Qiqihar Univ., Qiqihar, China","E-Business and E-Government (ICEE), 2010 International Conference on","","2010","","","4100","4102","The business process reengineering theory, also named enterprise regenerating project, is the fundamental rethinking and radical redesign of business processes to achieve dramatic improvements. In the business process reengineering, the process's reengineering is very important, while it is also important for the enterprise to reengineer the process's supporting essential factors, such as business values, organizational structure and business strategy, all of which should be restructured and adjusted correspondingly to improve the enterprise's achievements and competitive power. This article which elaborates the business process reengineering management theory is to convey a primary thought that takes the work process as the center, the customers' satisfaction as the guidance he organizational changes as the characteristic, the information technology as the method and establishes the team management based on the people oriented. Also, by discussing the enterprise' foundation of integrating the work process and interactive relationships among the restructuring of information technology, business process reengineering and the enterprise's process and by supporting the establishment of “the learning organization” and so on, it aims to implement business process reengineering management to improve the enterprise's achievements and competitive power.","","","10.1109/ICEE.2010.1029","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5591089","Business Process Reengineering;Enterprise's Process;Information technology;Process Reengineering;Reengineering Management","Economics;Information technology;Organizations;Publishing;Standards organizations;Technological innovation","business process re-engineering;customer satisfaction;information technology;team working","business process support reengineering management;business strategy;customer satisfaction;enterprise regenerating project;information technology;organizational structure;radical redesign;team management","","0","","9","","","7-9 May 2010","","IEEE","IEEE Conference Publications"
"An approach of design and implementation on SOA-based computer aided learning platform","Y. Jin; Y. Wang; P. Bian","School of Computer & Information, Technology, Beijing Jiaotong University, Beijing, P.R. China, 100044","Computer Science and Education (ICCSE), 2010 5th International Conference on","","2010","","","1558","1573","Service-Oriented Architecture (SOA) is a software architectural style which aims at achieving loose coupling among interacting of software agents. SOA brings more agility and flexibility to business applications by emphasizing on reusing business processes and IT assets. It enables organizations, enterprises to easily integrate systems, data, applications and processes that are connected by the link of services. With the rapid development of Internet and modern education, the current education system is facing new problems, such as integrating the existing education software systems and the resources. Therefore, finding a revolution for education software design and development, and realizing the ranges from software engineering to software architecture is a key issue to many educators and researchers. In this paper, an approach of design and implementation of SOA-based computer aided learning platform is proposed as an attempt to solve the “information isolated island”, duplication development problem which exist in current computer aided educational system. And the modeling-related business process of this platform is also described and analyzed in the paper.","","","10.1109/ICCSE.2010.5593767","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5593767","Business processes;Service-Oriented Architecture (SOA);Xml Pipe Environment (XPE);computer aided learning","Business;Computer aided instruction;Computer architecture;Computers;Service oriented architecture","computer aided instruction;education;software agents;software architecture","SOA based computer aided learning platform;business applications;education software design;service oriented architecture;software agents;software architectural style","","0","","13","","","24-27 Aug. 2010","","IEEE","IEEE Conference Publications"
"Collective intelligence as a framework for supply chain management","L. Sheremetov; L. Rocha-Mier","Mexican Pet. Inst., Mexico","Intelligent Systems, 2004. Proceedings. 2004 2nd International IEEE Conference","","2004","2","","417","422 Vol.2","The supply chain management is a difficult problem to solve in the context of distributed (information across different geographical locations) and dynamic (changes in the structure and content of the information) environment with multidisciplinary decisions (employees' decision making at different levels). In this research work, an approach to the dynamic optimization of local decisions to assure global optimization in supply chain performance is developed within the framework of a collective intelligence (COIN). As a COIN, we mean a large multi-agent system where there is no centralized control and communication, but also, there is a global task to complete. The proposed framework is focused on the interactions at local and global levels with the agents in order to improve the overall supply chain business process behaviour. Besides, learning consists of adapting the local behavior of each entity with the aim of optimizing a given global behavior. Reinforcement learning algorithms are used at the local level, while generalization of Q-neural algorithm is used to optimize the global behavior. The framework is implemented over an agent platform. The work demonstrates that this problem is a good experimental field for the investigation and application of the COIN theory.","","","10.1109/IS.2004.1344783","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1344783","","Centralized control;Decision making;Learning;Mathematical model;Multiagent systems;Optimization methods;Production;Resource management;Supply chain management;Supply chains","decision making;learning (artificial intelligence);multi-agent systems;supply chain management","Q-neural algorithm;collective intelligence;decision making;dynamic optimization;global optimization;multiagent system;reinforcement learning;supply chain business process behaviour;supply chain management","","1","","12","","","22-24 June 2004","","IEEE","IEEE Conference Publications"
"Experiments in Ubiquitous Computing for Communities of Practice Using Learning Resources","A. Bouzeghoub; P. A. Caron; S. Kaddouci; C. Lecocq; X. L. Pallec; F. J. Ritaine; J. Rouillard","Telecom Sud Paris, Evry","2008 The Second International Conference on Next Generation Mobile Applications, Services, and Technologies","","2008","","","254","259","We present in this paper the interest of ubiquitous computing for the so called contextualized forums. These forums allow communities of practice exchanging and sharing experiences or situations already lived by using learning documents to classify these exchanges. These forums contain a lot of information which contribute to improve classical training. We study here ubiquitous computing possibilities to use this type of forums in order to improve professional training to business process by helping the user to put his/her acquisition into practice. The developed application is being tested and works mainly on smartphones.","2161-2889;21612889","","10.1109/NGMAST.2008.70","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4756442","context;elearning;forum;smartphone;ubiquitous","Asynchronous communication;Context;Context-aware services;Global Positioning System;Mobile computing;Proposals;Smart phones;Telecommunications;Testing;Ubiquitous computing","computer based training;continuing professional development;management education;social networking (online);ubiquitous computing","Web application;business process;communities of practice;contextualized forum;learning resource;professional training;smart phone;ubiquitous computing","","1","","13","","","16-19 Sept. 2008","","IEEE","IEEE Conference Publications"
